Id,Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,ADDRESSBLO,ADDRESSBUI,ADDRESSPOS,ADDRESSSTR,ADDRESSTYP,HYPERLINK,LANDXADDRE,LANDYADDRE,PHOTOURL,ADDRESSFLO,INC_CRC,FMEL_UPD_D,ADDRESSUNI,snippet,Y,X
1043,Sunnychoice - Bukit Batok Central,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,630,,650630,Bukit Batok Central,C,,0,0,,1,E2D0A1ACBFA679A4,2.02004E+13,"156,154",,36911.51479,18718.1074
1044,Sunnychoice - Bukit Merah,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,125,,150125,Bukit Merah Lane 1,C,,0,0,,1,0BFD727DF48A2E77,2.02004E+13,158,,29817.55109,24625.76719
1045,Each-a-Cup - Kallang Leisure Park,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,5,Kallang Leisure Park,397693,Stadium Walk,D,,0,0,,1,7C04BD6413CBD952,2.02004E+13,30,,31618.62599,32767.0464
1046,Each-a-Cup - POMO,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,1,POMO,188306,Seligie Road,D,,0,0,,1,E33DBAC2AD8EBD7D,2.02004E+13,8,,31378.10019,29772.621
1047,Each-a-Cup - ION Orchard,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,2,Ion Orchard,238801,Orchard Turn,D,,0,0,,B4,0D92D93E4384D7C7,2.02004E+13,69,,31819.16829,27785.9379
1048,Each-a-Cup - Plaza Singapura,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,68,Plaza Singapura,238839,Orchard Road,D,,0,0,,B2,1E13B07C4685AA3F,2.02004E+13,48,,31455.57599,29305.33689
1049,Each-a-Cup - Wilkie Edge,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,8,Wilkie Edge,228095,Wilkie Road,D,,0,0,,1,E10771FC939F050F,2.02004E+13,6,,31607.56179,29802.1053
1050,Each-a-Cup - Marina Square,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,6,Marina Square Shopping Mall,39594,Raffles Boulevard,D,,0,0,,2,ADBAF9D23B387523,2.02004E+13,233,,30428.09239,30636.3556
1051,Each-a-Cup - E! Hub @ Downtown East,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,1,E! Hub @ Downtown East,519599,Pasir Ris Close,D,,0,0,,2,EE602DE82CC8BDC6,2.02004E+13,109,,39903.0787,41385.7332
1052,Each-a-Cup - Tampines One,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,10,Tampines One,529536,Tampines Central 1,D,,0,0,,B1,30AF058A33CD8221,2.02004E+13,K8,,37379.13589,40431.043
